School	City	County	Private_Public	College	Applied	Admitted	Enrolled	Admit_Rate_%	Rank_Within_Type	Overall_Rank	African_American_Applied	African_American_Admitted	African_American_Enrolled	African_American_Admit_Rate_%	American_Indian_Applied	American_Indian_Admitted	American_Indian_Enrolled	American_Indian_Admit_Rate_%	Hispanic_Latinx_Applied	Hispanic_Latinx_Admitted	Hispanic_Latinx_Enrolled	Hispanic_Latinx_Admit_Rate_%	Pacific_Islander_Applied	Pacific_Islander_Admitted	Pacific_Islander_Enrolled	Pacific_Islander_Admit_Rate_%	Asian_Applied	Asian_Admitted	Asian_Enrolled	Asian_Admit_Rate_%	White_Applied	White_Admitted	White_Enrolled	White_Admit_Rate_%	Domestic_Unknown_Applied	Domestic_Unknown_Admitted	Domestic_Unknown_Enrolled	Domestic_Unknown_Admit_Rate_%	International_Applied	International_Admitted	International_Enrolled	International_Admit_Rate_%
UNIVERSITY PREP ACADEMY	San Jose	Santa Clara	Public	UC Berkeley	51	9	7	17.65	14	23	11	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	30	7	5	23.33	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LOS GATOS HIGH SCHOOL	Los Gatos	Santa Clara	Public	UC Berkeley	197	34	20	17.26	15	24	0	0	0	0.0	0	0	0	0.0	14	4	0	28.57	0	0	0	0.0	78	12	8	15.38	81	16	9	19.75	19	0	0	0.0	0	0	0	0.0
PROSPECT HIGH SCHOOL	Saratoga	Santa Clara	Public	UC Berkeley	77	13	12	16.88	16	25	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	49	11	10	22.45	15	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HARKER SCHOOL	San Jose	Santa Clara	Private	UC Berkeley	167	28	11	16.77	10	26	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	114	19	9	16.67	16	0	0	0.0	31	8	0	25.81	0	0	0	0.0
LATINO COLLEGE PREP ACADEMY	San Jose	Santa Clara	Public	UC Berkeley	24	4	0	16.67	100	100	0	0	0	0.0	0	0	0	0.0	23	3	0	13.04	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LELAND HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	189	31	23	16.4	17	27	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	127	21	14	16.54	30	3	3	10.0	17	5	4	29.41	0	0	0	0.0
BISHOP ODOWD HIGH SCHOOL	Oakland	Alameda	Private	UC Berkeley	174	28	15	16.09	11	28	40	3	0	7.5	0	0	0	0.0	34	8	5	23.53	0	0	0	0.0	40	7	5	17.5	55	7	3	12.73	0	0	0	0.0	0	0	0	0.0
KIPP KING COLLEGIATE HIGH SCH	San Lorenzo	Alameda	Public	UC Berkeley	75	12	7	16.0	18	29	8	0	0	0.0	0	0	0	0.0	29	3	0	10.34	0	0	0	0.0	36	8	4	22.22	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ARCHBISHOP MITTY HIGH SCHOOL	San Jose	Santa Clara	Private	UC Berkeley	195	31	21	15.9	12	30	6	0	0	0.0	0	0	0	0.0	29	0	0	0.0	0	0	0	0.0	108	20	13	18.52	28	0	0	0.0	23	8	5	34.78	0	0	0	0.0
ENCINAL HIGH SCHOOL	Alameda	Alameda	Public	UC Berkeley	63	10	7	15.87	19	31	5	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	36	7	5	19.44	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SAINT JOSEPH-NOTRE DAME HS	Alameda	Alameda	Private	UC Berkeley	38	6	0	15.79	13	32	6	0	0	0.0	0	0	0	0.0	10	3	0	30.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MADISON PARK ACADEMY	Oakland	Alameda	Public	UC Berkeley	19	3	3	15.79	100	100	0	0	0	0.0	0	0	0	0.0	17	3	3	17.65	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
OAKLAND INTERNATIONAL HIGH SCH	Oakland	Alameda	Public	UC Berkeley	19	3	0	15.79	100	100	0	0	0	0.0	0	0	0	0.0	13	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
TENNYSON HIGH SCHOOL	Hayward	Alameda	Public	UC Berkeley	19	3	0	15.79	100	100	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MOUNTAIN VIEW HIGH SCHOOL	Mountain View	Santa Clara	Public	UC Berkeley	230	35	28	15.22	20	33	0	0	0	0.0	0	0	0	0.0	20	0	0	0.0	0	0	0	0.0	120	22	17	18.33	68	9	7	13.24	12	3	3	25.0	0	0	0	0.0
LIGHTHOUSE COMMUNITY CHAR HS	Oakland	Alameda	Public	UC Berkeley	20	3	3	15.0	100	100	0	0	0	0.0	0	0	0	0.0	18	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
NEWARK MEMORIAL HIGH SCHOOL	Newark	Alameda	Public	UC Berkeley	67	10	7	14.93	21	34	9	0	0	0.0	0	0	0	0.0	20	0	0	0.0	0	0	0	0.0	33	6	4	18.18	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
WESTMONT HIGH SCHOOL	Campbell	Santa Clara	Public	UC Berkeley	94	14	10	14.89	22	35	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	60	11	8	18.33	16	0	0	0.0	6	0	0	0.0	0	0	0	0.0
MONTA VISTA HIGH SCHOOL	Cupertino	Santa Clara	Public	UC Berkeley	289	43	28	14.88	23	36	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	211	32	23	15.17	18	0	0	0.0	36	8	3	22.22	21	0	0	0.0
LIVERMORE HIGH SCHOOL	Livermore	Alameda	Public	UC Berkeley	61	9	3	14.75	24	37	0	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	32	4	0	12.5	14	3	0	21.43	0	0	0	0.0	0	0	0	0.0
ANDREW P HILL HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	34	5	0	14.71	25	38	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	27	4	0	14.81	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SANTA TERESA HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	116	17	12	14.66	26	39	0	0	0	0.0	0	0	0	0.0	19	5	3	26.32	0	0	0	0.0	74	10	8	13.51	12	0	0	0.0	5	0	0	0.0	0	0	0	0.0
IMPACT ACAD ARTS/TECHNOLOGY	Hayward	Alameda	Public	UC Berkeley	41	6	0	14.63	27	40	0	0	0	0.0	0	0	0	0.0	27	4	0	14.81	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LOS ALTOS HIGH SCHOOL	Los Altos	Santa Clara	Public	UC Berkeley	246	36	22	14.63	27	40	6	0	0	0.0	0	0	0	0.0	29	0	0	0.0	0	0	0	0.0	125	21	12	16.8	60	9	5	15.0	17	0	0	0.0	7	3	0	42.86
AIMS COLLEGE PREP HIGH SCHOOL	Oakland	Alameda	Public	UC Berkeley	49	7	6	14.29	29	42	16	3	0	18.75	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	25	4	4	16.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SUMMIT PUBLIC SCHOOL-TAHOMA	San Jose	Santa Clara	Public	UC Berkeley	42	6	5	14.29	29	42	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	26	5	5	19.23	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SAINT FRANCIS HIGH SCHOOL	Mountain View	Santa Clara	Private	UC Berkeley	190	27	17	14.21	14	44	0	0	0	0.0	0	0	0	0.0	16	3	3	18.75	0	0	0	0.0	125	20	13	16.0	21	0	0	0.0	22	3	0	13.64	0	0	0	0.0
HENRY T GUNDERSON HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	29	4	0	13.79	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	19	4	0	21.05	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
OAKLAND TECHNICAL HIGH SCHOOL	Oakland	Alameda	Public	UC Berkeley	160	22	11	13.75	31	45	36	0	0	0.0	0	0	0	0.0	21	6	4	28.57	0	0	0	0.0	59	7	3	11.86	41	7	3	17.07	0	0	0	0.0	0	0	0	0.0
PINEWOOD SCHOOL	Los Altos Hills	Santa Clara	Private	UC Berkeley	22	3	0	13.64	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	15	3	0	20.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HOMESTEAD HIGH SCHOOL	Cupertino	Santa Clara	Public	UC Berkeley	279	38	21	13.62	32	46	0	0	0	0.0	0	0	0	0.0	19	0	0	0.0	0	0	0	0.0	178	24	11	13.48	41	5	5	12.2	30	8	5	26.67	10	0	0	0.0
