School	City	County	Private_Public	College	Applied	Admitted	Enrolled	Admit_Rate_%	Rank_Within_Type	Overall_Rank	African_American_Applied	African_American_Admitted	African_American_Enrolled	African_American_Admit_Rate_%	American_Indian_Applied	American_Indian_Admitted	American_Indian_Enrolled	American_Indian_Admit_Rate_%	Hispanic_Latinx_Applied	Hispanic_Latinx_Admitted	Hispanic_Latinx_Enrolled	Hispanic_Latinx_Admit_Rate_%	Pacific_Islander_Applied	Pacific_Islander_Admitted	Pacific_Islander_Enrolled	Pacific_Islander_Admit_Rate_%	Asian_Applied	Asian_Admitted	Asian_Enrolled	Asian_Admit_Rate_%	White_Applied	White_Admitted	White_Enrolled	White_Admit_Rate_%	Domestic_Unknown_Applied	Domestic_Unknown_Admitted	Domestic_Unknown_Enrolled	Domestic_Unknown_Admit_Rate_%	International_Applied	International_Admitted	International_Enrolled	International_Admit_Rate_%
KIPP SAN JOSE COLLEGIATE	San Jose	Santa Clara	Public	UCLA	47	5	3	10.64	12	19	0	0	0	0.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	29	4	3	13.79	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SANTA CLARA HIGH SCHOOL	Santa Clara	Santa Clara	Public	UCLA	104	11	8	10.58	13	20	7	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	66	10	7	15.15	13	0	0	0.0	5	0	0	0.0	0	0	0	0.0
SAINT FRANCIS HIGH SCHOOL	Mountain View	Santa Clara	Private	UCLA	209	22	13	10.53	8	21	0	0	0	0.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	137	16	9	11.68	27	0	0	0.0	22	4	3	18.18	0	0	0	0.0
CUPERTINO HIGH SCHOOL	Cupertino	Santa Clara	Public	UCLA	304	32	15	10.53	14	21	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	225	26	12	11.56	18	0	0	0.0	30	4	0	13.33	20	0	0	0.0
SAINT MARY'S COLLEGE HIGH SCHO	Berkeley	Alameda	Private	UCLA	77	8	7	10.39	9	23	14	3	3	21.43	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	20	0	0	0.0	26	3	0	11.54	0	0	0	0.0	0	0	0	0.0
LEADERSHIP PUBLIC SCH HAYWARD	Hayward	Alameda	Public	UCLA	29	3	0	10.34	100	100	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MOREAU CATHOLIC HIGH SCHOOL	Hayward	Alameda	Private	UCLA	97	10	8	10.31	10	24	9	0	0	0.0	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	63	9	7	14.29	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HAYWARD HIGH SCHOOL	Hayward	Alameda	Public	UCLA	39	4	3	10.26	15	25	0	0	0	0.0	0	0	0	0.0	22	0	0	0.0	0	0	0	0.0	14	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
THE KINGS ACADEMY	Sunnyvale	Santa Clara	Private	UCLA	88	9	4	10.23	11	26	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	63	6	0	9.52	6	0	0	0.0	11	0	0	0.0	0	0	0	0.0
CHRISTOPHER HIGH SCHOOL	Gilroy	Santa Clara	Public	UCLA	60	6	4	10.0	16	27	11	0	0	0.0	0	0	0	0.0	23	0	0	0.0	0	0	0	0.0	12	0	0	0.0	11	0	0	0.0	0	0	0	0.0	0	0	0	0.0
BISHOP ODOWD HIGH SCHOOL	Oakland	Alameda	Private	UCLA	205	20	15	9.76	12	28	52	4	0	7.69	0	0	0	0.0	35	4	3	11.43	0	0	0	0.0	44	3	3	6.82	68	7	5	10.29	0	0	0	0.0	0	0	0	0.0
QUARRY LANE SCHOOL	Dublin	Alameda	Private	UCLA	72	7	3	9.72	13	29	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	47	5	0	10.64	0	0	0	0.0	11	0	0	0.0	9	0	0	0.0
DR TJ OWENS GILROY EARLY COLG	Gilroy	Santa Clara	Public	UCLA	31	3	0	9.68	100	100	0	0	0	0.0	0	0	0	0.0	13	0	0	0.0	0	0	0	0.0	13	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ARROYO HIGH SCHOOL	San Lorenzo	Alameda	Public	UCLA	84	8	3	9.52	17	30	0	0	0	0.0	0	0	0	0.0	14	0	0	0.0	0	0	0	0.0	66	5	3	7.58	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
JOHN F KENNEDY HIGH SCHOOL	Fremont	Alameda	Public	UCLA	63	6	4	9.52	17	30	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	46	5	3	10.87	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0
NEWARK MEMORIAL HIGH SCHOOL	Newark	Alameda	Public	UCLA	63	6	5	9.52	17	30	6	0	0	0.0	0	0	0	0.0	17	0	0	0.0	0	0	0	0.0	31	4	4	12.9	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0
PROSPECT HIGH SCHOOL	Saratoga	Santa Clara	Public	UCLA	84	8	0	9.52	17	30	5	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	57	6	0	10.53	14	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ANN SOBRATO HIGH SCHOOL	Morgan Hill	Santa Clara	Public	UCLA	74	7	4	9.46	21	34	0	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	40	4	0	10.0	15	0	0	0.0	0	0	0	0.0	0	0	0	0.0
OAKLAND HIGH SCHOOL	Oakland	Alameda	Public	UCLA	74	7	3	9.46	21	34	21	0	0	0.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	34	4	0	11.76	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
WILLOW GLEN HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	74	7	3	9.46	21	34	0	0	0	0.0	0	0	0	0.0	25	0	0	0.0	0	0	0	0.0	19	0	0	0.0	26	3	0	11.54	0	0	0	0.0	0	0	0	0.0
LOS ALTOS HIGH SCHOOL	Los Altos	Santa Clara	Public	UCLA	254	24	11	9.45	24	37	5	0	0	0.0	0	0	0	0.0	24	0	0	0.0	0	0	0	0.0	133	18	7	13.53	66	0	0	0.0	17	0	0	0.0	6	0	0	0.0
BELLARMINE COLLEGE PREPARATORY	San Jose	Santa Clara	Private	UCLA	160	15	7	9.38	14	38	6	0	0	0.0	0	0	0	0.0	31	0	0	0.0	0	0	0	0.0	80	11	4	13.75	29	3	0	10.34	13	0	0	0.0	0	0	0	0.0
HENRY M GUNN SENIOR HIGH SCHL	Palo Alto	Santa Clara	Public	UCLA	309	28	11	9.06	25	39	7	0	0	0.0	0	0	0	0.0	20	0	0	0.0	0	0	0	0.0	182	22	8	12.09	57	0	0	0.0	34	3	0	8.82	6	0	0	0.0
LELAND HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	199	18	13	9.05	26	40	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	135	13	10	9.63	32	0	0	0.0	18	4	0	22.22	0	0	0	0.0
LOS GATOS HIGH SCHOOL	Los Gatos	Santa Clara	Public	UCLA	210	19	10	9.05	26	40	0	0	0	0.0	0	0	0	0.0	17	0	0	0.0	0	0	0	0.0	80	8	5	10.0	92	8	4	8.7	19	0	0	0.0	0	0	0	0.0
MISSION SAN JOSE HIGH SCHOOL	Fremont	Alameda	Public	UCLA	378	34	17	8.99	28	42	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	300	24	12	8.0	5	0	0	0.0	52	10	5	19.23	12	0	0	0.0
KIPP KING COLLEGIATE HIGH SCH	San Lorenzo	Alameda	Public	UCLA	67	6	0	8.96	29	43	8	0	0	0.0	0	0	0	0.0	21	0	0	0.0	0	0	0	0.0	36	5	0	13.89	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
NOTRE DAME HIGH SCHOOL	San Jose	Santa Clara	Private	UCLA	90	8	4	8.89	15	44	0	0	0	0.0	0	0	0	0.0	14	0	0	0.0	0	0	0	0.0	51	6	4	11.76	18	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SARATOGA HIGH SCHOOL	Saratoga	Santa Clara	Public	UCLA	203	18	9	8.87	30	45	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	150	14	6	9.33	17	0	0	0.0	22	3	0	13.64	0	0	0	0.0
HENRY T GUNDERSON HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	34	3	0	8.82	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	22	3	0	13.64	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0
PIEDMONT HIGH SCHOOL	Piedmont	Alameda	Public	UCLA	102	9	5	8.82	31	46	5	0	0	0.0	0	0	0	0.0	11	0	0	0.0	0	0	0	0.0	28	0	0	0.0	50	5	4	10.0	8	0	0	0.0	0	0	0	0.0
HEAD-ROYCE SCHOOL THE	Oakland	Alameda	Private	UCLA	80	7	6	8.75	16	47	9	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	38	6	5	15.79	23	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALAMEDA HIGH SCHOOL	Alameda	Alameda	Public	UCLA	160	14	9	8.75	32	47	8	0	0	0.0	0	0	0	0.0	19	3	0	15.79	0	0	0	0.0	79	5	3	6.33	49	4	3	8.16	0	0	0	0.0	0	0	0	0.0
ARCHBISHOP MITTY HIGH SCHOOL	San Jose	Santa Clara	Private	UCLA	219	19	11	8.68	17	49	10	0	0	0.0	0	0	0	0.0	26	0	0	0.0	0	0	0	0.0	117	12	7	10.26	37	0	0	0.0	26	3	0	11.54	0	0	0	0.0
WESTMONT HIGH SCHOOL	Campbell	Santa Clara	Public	UCLA	93	8	5	8.6	33	50	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	55	6	3	10.91	17	0	0	0.0	6	0	0	0.0	0	0	0	0.0
MOUNTAIN VIEW HIGH SCHOOL	Mountain View	Santa Clara	Public	UCLA	257	22	10	8.56	34	51	0	0	0	0.0	0	0	0	0.0	26	0	0	0.0	0	0	0	0.0	128	9	5	7.03	79	7	3	8.86	13	3	0	23.08	0	0	0	0.0
PALO ALTO SENIOR HIGH SCHOOL	Palo Alto	Santa Clara	Public	UCLA	281	24	9	8.54	35	52	0	0	0	0.0	0	0	0	0.0	24	0	0	0.0	0	0	0	0.0	142	12	5	8.45	76	4	0	5.26	31	6	0	19.35	6	0	0	0.0
AMADOR VALLEY HIGH SCHOOL	Pleasanton	Alameda	Public	UCLA	306	26	11	8.5	36	53	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	207	16	7	7.73	34	0	0	0.0	40	9	3	22.5	12	0	0	0.0
PRESENTATION HIGH SCHOOL	San Jose	Santa Clara	Private	UCLA	60	5	3	8.33	18	54	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	35	5	3	14.29	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0
AMERICAN HIGH SCHOOL	Fremont	Alameda	Public	UCLA	302	25	14	8.28	37	55	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	235	20	13	8.51	7	0	0	0.0	24	4	0	16.67	23	0	0	0.0
BERKELEY HIGH SCHOOL	Berkeley	Alameda	Public	UCLA	387	32	22	8.27	38	56	53	0	0	0.0	0	0	0	0.0	59	3	0	5.08	0	0	0	0.0	76	7	5	9.21	186	20	14	10.75	9	0	0	0.0	0	0	0	0.0
MONTA VISTA HIGH SCHOOL	Cupertino	Santa Clara	Public	UCLA	306	25	10	8.17	39	57	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	226	18	7	7.96	18	3	0	16.67	36	4	0	11.11	21	0	0	0.0
FOOTHILL HIGH SCHOOL	Pleasanton	Alameda	Public	UCLA	261	21	15	8.05	40	58	6	0	0	0.0	0	0	0	0.0	14	0	0	0.0	0	0	0	0.0	172	12	11	6.98	36	4	0	11.11	21	3	0	14.29	12	0	0	0.0
HOMESTEAD HIGH SCHOOL	Cupertino	Santa Clara	Public	UCLA	298	24	12	8.05	40	58	0	0	0	0.0	0	0	0	0.0	21	0	0	0.0	0	0	0	0.0	185	18	7	9.73	47	0	0	0.0	33	5	4	15.15	10	0	0	0.0
JAMES LOGAN HIGH SCHOOL	Union City	Alameda	Public	UCLA	162	13	5	8.02	42	60	6	0	0	0.0	0	0	0	0.0	18	0	0	0.0	0	0	0	0.0	119	10	3	8.4	10	0	0	0.0	8	0	0	0.0	0	0	0	0.0
INDEPENDENCE HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	89	7	4	7.87	43	61	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	77	6	3	7.79	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MILPITAS HIGH SCHOOL	Milpitas	Santa Clara	Public	UCLA	254	20	12	7.87	43	61	5	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	208	18	11	8.65	10	0	0	0.0	8	0	0	0.0	12	0	0	0.0
EVERGREEN VALLEY HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	347	27	14	7.78	45	63	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	300	22	10	7.33	0	0	0	0.0	22	5	4	22.73	10	0	0	0.0
DUBLIN HIGH SCHOOL	Dublin	Alameda	Public	UCLA	464	36	21	7.76	46	64	7	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	375	31	18	8.27	26	0	0	0.0	29	4	0	13.79	17	0	0	0.0
PIONEER HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	78	6	6	7.69	47	65	0	0	0	0.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	25	0	0	0.0	33	4	4	12.12	0	0	0	0.0	0	0	0	0.0
OAKLAND TECHNICAL HIGH SCHOOL	Oakland	Alameda	Public	UCLA	157	12	5	7.64	48	66	36	0	0	0.0	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	58	6	0	10.34	44	4	3	9.09	0	0	0	0.0	0	0	0	0.0
GRANADA HIGH SCHOOL	Livermore	Alameda	Public	UCLA	122	9	7	7.38	49	67	0	0	0	0.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	44	5	4	11.36	48	0	0	0.0	0	0	0	0.0	6	0	0	0.0
ALBANY HIGH SCHOOL	Albany	Alameda	Public	UCLA	138	10	3	7.25	50	68	0	0	0	0.0	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	71	5	0	7.04	43	3	0	6.98	5	0	0	0.0	0	0	0	0.0
IRVINGTON HIGH SCHOOL	Fremont	Alameda	Public	UCLA	335	24	13	7.16	51	69	0	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	274	20	11	7.3	5	0	0	0.0	30	4	0	13.33	20	0	0	0.0
BRANHAM HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	154	11	4	7.14	52	70	0	0	0	0.0	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	78	8	3	10.26	48	0	0	0.0	8	0	0	0.0	0	0	0	0.0
SILVER CREEK HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	129	9	6	6.98	53	71	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	116	9	6	7.76	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SUMMIT PUBLIC SCHOOL-TAHOMA	San Jose	Santa Clara	Public	UCLA	44	3	3	6.82	100	100	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	27	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0
WASHINGTON HIGH SCHOOL	Fremont	Alameda	Public	UCLA	134	9	5	6.72	54	72	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	100	8	4	8.0	12	0	0	0.0	6	0	0	0.0	10	0	0	0.0
MOUNT EDEN HIGH SCHOOL	Hayward	Alameda	Public	UCLA	45	3	0	6.67	100	100	5	0	0	0.0	0	0	0	0.0	14	0	0	0.0	0	0	0	0.0	25	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LEIGH HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	144	9	4	6.25	55	73	6	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	86	6	0	6.98	37	0	0	0.0	0	0	0	0.0	0	0	0	0.0
PIEDMONT HILLS HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	132	8	4	6.06	56	74	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	113	8	4	7.08	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0
ADRIAN C WILCOX HIGH SCHOOL	Santa Clara	Santa Clara	Public	UCLA	133	8	3	6.02	57	75	0	0	0	0.0	0	0	0	0.0	13	0	0	0.0	0	0	0	0.0	100	7	3	7.0	8	0	0	0.0	6	0	0	0.0	0	0	0	0.0
LYNBROOK HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	337	19	8	5.64	58	76	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	256	16	8	6.25	11	0	0	0.0	55	3	0	5.45	10	0	0	0.0
SAN LEANDRO HIGH SCHOOL	San Leandro	Alameda	Public	UCLA	85	4	3	4.71	59	77	17	0	0	0.0	0	0	0	0.0	21	0	0	0.0	0	0	0	0.0	44	4	3	9.09	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CASTRO VALLEY HIGH SCHOOL	Castro Valley	Alameda	Public	UCLA	220	10	5	4.55	60	78	12	0	0	0.0	0	0	0	0.0	31	0	0	0.0	0	0	0	0.0	129	6	3	4.65	36	3	0	8.33	11	0	0	0.0	0	0	0	0.0
ALSION MONTESSORI MIDDLE/HIGH	Fremont	Alameda	Private	UCLA	10	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
AVERROES HIGH SCHOOL	Fremont	Alameda	Private	UCLA	7	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CRISTO REY SAN JOSE JESUIT HS	San Jose	Santa Clara	Private	UCLA	26	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	24	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
FREMONT CHRISTIAN HIGH SCHOOL	Fremont	Alameda	Private	UCLA	19	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
FUSION ACADEMY-LOS GATOS	Los Gatos	Santa Clara	Private	UCLA	6	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
GERMAN INTL SCH SILICON VLLY	Mountain View	Santa Clara	Private	UCLA	13	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HOLY NAMES HIGH SCHOOL	Oakland	Alameda	Private	UCLA	11	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
KHAN LAB SCHOOL	Mountain View	Santa Clara	Private	UCLA	14	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MAYBECK HIGH SCHOOL	Berkeley	Alameda	Private	UCLA	7	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MOUNTAIN VIEW ACADEMY	Mountain View	Santa Clara	Private	UCLA	5	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
OAKWOOD SCHOOL	Morgan Hill	Santa Clara	Private	UCLA	17	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
RISE ACADEMY	San Jose	Santa Clara	Private	UCLA	8	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
VALLEY CHRISTIAN HIGH SCHOOL	Dublin	Alameda	Private	UCLA	11	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ACE CHARTER HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	5	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
AIMS COLLEGE PREP HIGH SCHOOL	Oakland	Alameda	Public	UCLA	50	0	0	0.0	100	100	15	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	27	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALAMEDA COMMUNITY LEARNING CTR	Alameda	Alameda	Public	UCLA	8	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALPHA CINDY AVITIA HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	19	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	17	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALTERNATIVES IN ACTION HS	Oakland	Alameda	Public	UCLA	9	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ANDREW P HILL HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	22	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	18	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ARISE HIGH SCHOOL	Oakland	Alameda	Public	UCLA	27	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	26	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ASPIRE GOLDEN STATE PREP ACADEMY	Oakland	Alameda	Public	UCLA	16	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ASPIRE LIONEL WILSON COLG PREP	Oakland	Alameda	Public	UCLA	7	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
BAY AREA TECHNOLOGY-BAYTECH	Oakland	Alameda	Public	UCLA	6	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CASTLEMONT HIGH SCHOOL	Oakland	Alameda	Public	UCLA	5	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CIRCLE OF INDEPENDENT LEARNING	Fremont	Alameda	Public	UCLA	5	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
DEL MAR HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	30	0	0	0.0	100	100	7	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	14	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
DOWNTOWN COLG PREP EL PRIMERO	San Jose	Santa Clara	Public	UCLA	9	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
EAST BAY INNOVATION ACADEMY	Oakland	Alameda	Public	UCLA	9	0	0	0.0	100	100	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
EMERY SECONDARY SCHOOL	Emeryville	Alameda	Public	UCLA	6	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HAYWARD TWIN OAKS MONTESSORI	Hayward	Alameda	Public	UCLA	11	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
JAMES LICK HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	7	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
KIPP NAVIGATE COLLEGE PREP	San Jose	Santa Clara	Public	UCLA	12	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LATINO COLLEGE PREP ACADEMY	San Jose	Santa Clara	Public	UCLA	22	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	22	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LATITUDE 37.8 HS MERRITT COLLEGE	Oakland	Alameda	Public	UCLA	9	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LIFE ACADEMY HIGH SCHOOL	Oakland	Alameda	Public	UCLA	10	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LIGHTHOUSE COMMUNITY CHAR HS	Oakland	Alameda	Public	UCLA	10	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
